title,price,location_date,link
Laptop Lenovo Ideapad 110-15ACL,150,Piła - 08 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-ideapad-110-15acl-CID99-ID169GeO.html
Laptop Lenovo thinkpad T400,150,Kętrzyn - 16 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-thinkpad-t400-CID99-ID16gevc.html
Laptop Lenovo G560 i3,150,"Szczecin, Niebuszewo - 19 czerwca 2025",https://www.olx.pl/d/oferta/laptop-lenovo-g560-i3-CID99-ID13LqJt.html
Laptop lenovo b570e,150,Legionowo - 18 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-b570e-CID99-ID13MQsa.html
Lenovo g50-30 + Dell,150,Józefosław - 18 czerwca 2025,https://www.olx.pl/d/oferta/lenovo-g50-30-dell-CID99-ID15SKvL.html
"Laptop Lenovo Ideapad 110-15IBR 15,6 4GB ram",150,Żory - 23 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-ideapad-110-15ibr-15-6-4gb-ram-CID99-ID13XrEN.html
Laptop Lenovo używany,150,Uście - 04 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-uzywany-CID99-ID14hL1n.html
Laptop lenovo dobry stan,160,"Szczecin, Centrum - 23 czerwca 2025",https://www.olx.pl/d/oferta/laptop-lenovo-dobry-stan-CID99-ID13Llmi.html
"Laptop Lenovo 15,6 intel core i3 6gb ramu",160,Kluczbork - 03 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-15-6-intel-core-i3-6gb-ramu-CID99-ID153MHM.html
Lenovo Yoga 2 13-dotykowy,170,Ostrzeszów - 22 czerwca 2025,https://www.olx.pl/d/oferta/lenovo-yoga-2-13-dotykowy-CID99-ID16kr7C.html
Laptop Lenovo Ideapad 110-15IBR używany sprawny,170,Nysa - 16 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-ideapad-110-15ibr-uzywany-sprawny-CID99-ID16fQkj.html
"laptop Lenovo Y70-70 i7 17,3"" dotyk - na części",180,Opiesin - 22 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-y70-70-i7-17-3-dotyk-na-czesci-CID99-ID16kmeK.html
Lenovo Yoga 310-11IAP Laptop dotykowy,180,Jelcz-Laskowice - 13 czerwca 2025,https://www.olx.pl/d/oferta/lenovo-yoga-310-11iap-laptop-dotykowy-CID99-ID14quNM.html
Laptop Lenovo B570,180,Koszalin - 19 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-b570-CID99-ID16iDUS.html
Lenovo ThinkPad Ultra Slide Dock - 135W EU (40AJ0135EU),180,"Warszawa, Białołęka - 24 czerwca 2025",https://www.olx.pl/d/oferta/lenovo-thinkpad-ultra-slide-dock-135w-eu-40aj0135eu-CID99-ID129sUu.html
Lenovo 2w1 Laptop tablet okazja na wakacje,187,"Szczecin, Centrum - 21 czerwca 2025",https://www.olx.pl/d/oferta/lenovo-2w1-laptop-tablet-okazja-na-wakacje-CID99-ID14WS2b.html
Laptop Lenovo Ideapad,189,Nysa - 03 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-ideapad-CID99-ID165Vss.html
Laptop Lenovo Ideapad 110,190,Czechowice-Dziedzice - 02 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-ideapad-110-CID99-ID164VVb.html
Laptop Lenovo Type 2847 ThinkPad,190,Sochaczew - 03 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-type-2847-thinkpad-CID99-IDZCLzE.html
Lenovo S41-70 – laptop z 8 GB RAM,199,"Warszawa, Praga-Południe - 12 czerwca 2025",https://www.olx.pl/d/oferta/lenovo-s41-70-laptop-z-8-gb-ram-CID99-ID16dnyv.html
